occ_year,occ_hour,premises_type,age_cohort
2014,11,House,25 to 34
2014,19,Apartment,18 to 24
2014,6,Outside,55 to 64
2014,19,House,55 to 64
2014,2,Outside,35 to 44
2014,20,Apartment,35 to 44
2014,9,Apartment,25 to 34
2014,21,Apartment,25 to 34
2014,1,Apartment,45 to 54
2014,11,House,25 to 34
2014,16,Apartment,25 to 34
2014,5,Apartment,25 to 34
2014,7,House,18 to 24
2014,3,Other,18 to 24
2014,16,House,55 to 64
2014,16,House,18 to 24
2014,12,Outside,65 and above
2014,21,House,18 to 24
2014,20,Other,35 to 44
2014,19,House,18 to 24
2014,21,Other,45 to 54
2014,9,Other,45 to 54
2014,19,House,18 to 24
2014,15,Other,55 to 64
2014,23,House,35 to 44
2014,20,Transit,18 to 24
2014,12,House,45 to 54
2014,10,Other,Not Recorded
2014,14,Apartment,35 to 44
2014,17,Commercial,25 to 34
2014,15,Commercial,25 to 34
2014,14,Apartment,35 to 44
2014,20,Apartment,55 to 64
2014,6,Other,25 to 34
2014,22,House,25 to 34
2014,17,Apartment,45 to 54
2014,3,Apartment,25 to 34
2014,11,Apartment,25 to 34
2014,15,Apartment,45 to 54
2014,19,House,25 to 34
2014,23,House,18 to 24
2014,9,Apartment,35 to 44
2014,9,Apartment,45 to 54
2014,13,Other,45 to 54
2014,5,Apartment,18 to 24
2014,10,House,55 to 64
2014,2,Apartment,25 to 34
2014,18,House,55 to 64
2014,11,Apartment,18 to 24
2014,18,Commercial,65 and above
2014,18,Outside,18 to 24
2014,8,House,25 to 34
2014,18,Apartment,35 to 44
2014,23,Outside,25 to 34
2014,23,Outside,45 to 54
2014,1,Outside,35 to 44
2014,17,Apartment,55 to 64
2014,22,House,55 to 64
2014,18,Apartment,18 to 24
2014,13,Apartment,18 to 24
2014,17,Other,45 to 54
2014,2,Other,25 to 34
2014,16,Apartment,45 to 54
2014,23,Commercial,45 to 54
2014,1,Apartment,35 to 44
2014,7,Other,35 to 44
2014,2,Apartment,18 to 24
2014,1,Outside,25 to 34
2014,22,Apartment,55 to 64
2014,13,Other,18 to 24
2014,19,Apartment,55 to 64
2014,10,Other,18 to 24
2014,21,Apartment,45 to 54
2014,18,Apartment,25 to 34
2014,18,House,45 to 54
2014,11,Outside,35 to 44
2014,9,Transit,45 to 54
